우선순위,유형,마감,프레임 색상,간살,안전창 디자인,손잡이,키(skuImages용),파일명(권장)
3,원슬라이딩,도장,그레이,민자,모루,기본형,원슬라이딩_paint_gray_none_moru_none,assets/sku/diy-door-원슬라이딩-도장그레이-민자-모루-기본형.png
3,원슬라이딩,도장,그레이,민자,미스트,기본형,원슬라이딩_paint_gray_none_mist_none,assets/sku/diy-door-원슬라이딩-도장그레이-민자-미스트-기본형.png
3,원슬라이딩,도장,그레이,민자,패브릭,기본형,원슬라이딩_paint_gray_none_fabric_none,assets/sku/diy-door-원슬라이딩-도장그레이-민자-패브릭-기본형.png
3,원슬라이딩,도장,그레이,가로통간살,투명,기본형,원슬라이딩_paint_gray_horizontal_clear_none,assets/sku/diy-door-원슬라이딩-도장그레이-가로통간살-투명-기본형.png
3,원슬라이딩,도장,그레이,세로통간살,투명,기본형,원슬라이딩_paint_gray_vertical_clear_none,assets/sku/diy-door-원슬라이딩-도장그레이-세로통간살-투명-기본형.png
3,원슬라이딩,도장,그레이,아치형,투명,기본형,원슬라이딩_paint_gray_arch_clear_none,assets/sku/diy-door-원슬라이딩-도장그레이-아치형-투명-기본형.png
3,원슬라이딩,도장,블랙,민자,투명,원형,원슬라이딩_paint_black_none_clear_circle,assets/sku/diy-door-원슬라이딩-도장블랙-민자-투명-원형.png
3,원슬라이딩,도장,블랙,민자,투명,일자형,원슬라이딩_paint_black_none_clear_bar,assets/sku/diy-door-원슬라이딩-도장블랙-민자-투명-일자형.png
3,원슬라이딩,도장,블랙,민자,브론즈,기본형,원슬라이딩_paint_black_none_bronze_none,assets/sku/diy-door-원슬라이딩-도장블랙-민자-브론즈-기본형.png
3,원슬라이딩,도장,블랙,민자,모루,기본형,원슬라이딩_paint_black_none_moru_none,assets/sku/diy-door-원슬라이딩-도장블랙-민자-모루-기본형.png
